budget,size_eval,hidden_size,epochs,learning_rate,total_time,absolute_error
100,80,10,300,0.01,0.1188044548034668,0.2851999999999997
100,80,10,300,0.01,0.10521912574768066,0.34979999999999833
100,80,10,300,0.01,0.1047508716583252,0.534799999999997
100,80,10,300,0.01,0.10495948791503906,0.4173999999999971
100,80,10,300,0.01,0.10441875457763672,0.07379999999999853
100,80,10,300,0.01,0.10370349884033203,0.0
100,80,10,300,0.01,0.10331892967224121,0.2851999999999997
100,80,10,300,0.01,0.1056070327758789,0.0
100,80,10,300,0.01,0.10450887680053711,0.45339999999999847
100,80,10,300,0.01,0.10606741905212402,0.07379999999999853
100,90,10,300,0.01,0.07339978218078613,0.5333999999999968
100,90,10,300,0.01,0.07406497001647949,0.34399999999999764
100,90,10,300,0.01,0.07388854026794434,0.2851999999999997
100,90,10,300,0.01,0.07496213912963867,0.6725999999999992
100,90,10,300,0.01,0.07810187339782715,0.4009999999999998
100,90,10,300,0.01,0.07741117477416992,0.0
100,90,10,300,0.01,0.07335805892944336,0.07379999999999853
100,90,10,300,0.01,0.07441401481628418,0.07379999999999853
100,90,10,300,0.01,0.07414460182189941,0.37959999999999994
100,90,10,300,0.01,0.07431674003601074,0.45339999999999847
50,10,10,300,0.01,0.16669750213623047,0.6865999999999985
50,10,10,300,0.01,0.16847777366638184,0.2851999999999997
50,10,10,300,0.01,0.1690502166748047,0.6885999999999974
50,10,10,300,0.01,0.1672356128692627,0.7227999999999994
50,10,10,300,0.01,0.16675829887390137,0.5923999999999978
50,10,10,300,0.01,0.16678094863891602,0.4009999999999998
50,10,10,300,0.01,0.17430567741394043,0.4173999999999971
50,10,10,300,0.01,0.1678147315979004,0.2851999999999997
50,10,10,300,0.01,0.16523027420043945,0.534799999999997
50,10,10,300,0.01,0.17016077041625977,0.4173999999999971
50,10,10,300,0.01,0.16359257698059082,0.4878
50,10,10,300,0.01,0.16034555435180664,0.37959999999999994
50,10,10,300,0.01,0.15987300872802734,0.34979999999999833
50,10,10,300,0.01,0.1614835262298584,0.4173999999999971
50,10,10,300,0.01,0.16388344764709473,1.2936000000000014
50,10,10,300,0.01,0.16190695762634277,0.45339999999999847
50,10,10,300,0.01,0.1588747501373291,0.4173999999999971
50,10,10,300,0.01,0.1602153778076172,0.34979999999999833
50,10,10,300,0.01,0.16247892379760742,0.7833999999999968
50,10,10,300,0.01,0.1593012809753418,0.4878
60,10,10,300,0.01,0.19214987754821777,1.2535999999999987
60,10,10,300,0.01,0.1955263614654541,0.2851999999999997
60,10,10,300,0.01,0.19068169593811035,0.45339999999999847
60,10,10,300,0.01,0.19140148162841797,0.37959999999999994
60,10,10,300,0.01,0.1920185089111328,0.4009999999999998
60,10,10,300,0.01,0.19184184074401855,0.07379999999999853
60,10,10,300,0.01,0.19936895370483398,0.07379999999999853
60,10,10,300,0.01,0.19610810279846191,0.534799999999997
60,10,10,300,0.01,0.19590973854064941,0.45339999999999847
60,10,10,300,0.01,0.19322752952575684,0.0
70,10,10,300,0.01,0.22638511657714844,0.4009999999999998
70,10,10,300,0.01,0.22931337356567383,0.0
70,10,10,300,0.01,0.2238309383392334,0.0
70,10,10,300,0.01,0.22377991676330566,0.6311999999999998
70,10,10,300,0.01,0.22526264190673828,0.47839999999999705
70,10,10,300,0.01,0.22448348999023438,131.151
70,10,10,300,0.01,0.22708821296691895,1.2535999999999987
70,10,10,300,0.01,0.2306838035583496,0.47839999999999705
70,10,10,300,0.01,0.23078083992004395,0.6311999999999998
70,10,10,300,0.01,0.23007869720458984,0.4173999999999971
80,10,10,300,0.01,0.2757413387298584,0.0
80,10,10,300,0.01,0.27370715141296387,0.6231999999999971
80,10,10,300,0.01,0.26175642013549805,0.0
80,10,10,300,0.01,0.34616541862487793,0.07379999999999853
80,10,10,300,0.01,0.26245546340942383,0.6231999999999971
80,10,10,300,0.01,0.3047456741333008,0.45339999999999847
80,10,10,300,0.01,0.26660728454589844,1.0123999999999995
80,10,10,300,0.01,0.30620718002319336,0.6231999999999971
80,10,10,300,0.01,0.3006589412689209,0.0
80,10,10,300,0.01,0.2593729496002197,0.0
