new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
2.0,1.0,1.0,0.0,1.0,90.0,4096.0,2.0,4649.2
2.0,1.0,0.0,0.0,0.0,30.0,4096.0,0.0,4867.4
4.0,0.0,1.0,0.0,0.0,90.0,256.0,0.0,8886.8
2.0,0.0,1.0,0.0,0.0,100.0,4096.0,4.0,4363.0
2.0,0.0,1.0,0.0,0.0,90.0,4096.0,0.0,4673.6
2.0,0.0,0.0,0.0,0.0,100.0,4096.0,0.0,4676.2
5.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,9092.4
2.0,0.0,1.0,0.0,1.0,20.0,512.0,0.0,5030.8
5.0,1.0,1.0,1.0,0.0,30.0,1.0,0.0,9115.0
2.0,0.0,1.0,0.0,1.0,30.0,2048.0,0.0,4885.0
4.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,10019.4
2.0,0.0,0.0,0.0,1.0,50.0,64.0,2.0,4910.8
2.0,0.0,0.0,0.0,0.0,30.0,2048.0,0.0,4849.4
4.0,0.0,0.0,0.0,0.0,90.0,64.0,0.0,8916.4
5.0,1.0,0.0,1.0,1.0,100.0,2048.0,0.0,9121.6
2.0,0.0,0.0,0.0,0.0,100.0,1024.0,2.0,4682.0
4.0,0.0,1.0,0.0,1.0,100.0,256.0,2.0,8904.0
4.0,0.0,1.0,0.0,0.0,100.0,1024.0,0.0,8892.8
2.0,0.0,1.0,0.0,1.0,30.0,4096.0,0.0,4808.8
